2024-01-05 00:10:28 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:10:28 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:10:31 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:10:32 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:10:32 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:10:32 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:10:35 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:10:35 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:10:36 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:10:36 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:10:39 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:10:39 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:10:39 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:10:39 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:10:43 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:10:43 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:10:43 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:10:43 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:10:46 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:10:47 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:10:47 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:10:47 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:10:50 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:10:50 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:10:50 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:10:51 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:10:54 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:10:54 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:10:54 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:10:55 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:10:58 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:10:58 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:11:01 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:11:01 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:11:05 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:11:05 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:11:05 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:11:05 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:11:09 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:11:09 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:11:09 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:11:09 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:11:13 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:11:13 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
